Tc1t;(T1-P1)+(P1-d)
Tc2p;(T1-d)-(T1-P1)
Tc3t;(T1-P1)+(P1-d)
Tc4p;
Cc1t;(T1-P1)+(P1-d)
Cc2p;
Cc3t;(T1-P1)+(P1-d)
Cc4p;
Tc1p;T1-d
Tc2t;(T1-P1)+(P1-d)
Tc3p;T1-d
Tc4t;T1-(P1-d)
Cc1p;(T1-d)-(T1-P1)
Cc2t;(T1-P1)+d
Cc3p;(T1-d)-(T1-P1)
Cc4t;
Cc1t;(T1-P1)+(P1-d)
Cc2p;(T1-d)-(T1-P1)
Cc3t;(T1-P1)+(P1-d)
Cc4p;(T1-d)-(T1-P1)
Tc1t;(T1-P1)+(P1-d)
Tc2p;(T1-d)-(T1-P1)
Tc3t;T1-(P1-d)
Tc4p;(T1-d)-(T1-P1)
Cc1p;T1-d
Cc2t;(T1-P1)+d
Cc3p;(T1-d)-(T1-P1)
Cc4t;(T1-P1)+d
Tc1p;T1-d
Tc2t;T1-d
Tc3p;T1-d
Tc4t;P1-d
Cc4p;(T1-d)-P1
Cc3t;(T1-P1)+(P1-d)
Cc2p;(T1-d)-(T1-P1)
Cc1t;(T1-P1)+((T1-P1)-d)
Tc4p;(T1-d)-P1
Tc3t;P1-d
Tc2p;(T1-d)-P1
Tc1t;(T1-d)+P1
Cc4t;P1-d
Cc3p;T1-d
Cc2t;T1-d
Cc1p;T1-d
Tc4t;T1-d
Tc3p;T1-d
Tc2t;T1-d
Tc1p;T1-d
Tc4p;P1+T1-d
Tc3t;
Tc2p;T1-P1-d
Tc1t;P1+d
Cc4p;P1-d
Cc3t;(P1-d)-d+(T1-P1)
Cc2p;(T1-d)-(T1-P1)
Cc1t;(T1-P1)+(P1-d)
Tc4t;P1+T1-d
Tc3p;T1+P1+d
Tc2t;T1-d
Tc1p;P1+T1-d
Cc4t;(T1-P1)+(P1-d)
Cc3p;T1-d
Cc2t;T1-(P1-d)
Cc1p;T1-d
Tc1t;T1-d
Cc3p;T1-d
Tc2t;(T1-P1)+d
Cc4p;T1-d
Cc1t;(T1-P1)+(P1-d)
Tc3p;T1-d
Cc2t;(T1-P1)+d
Tc4p;(T1-P1)-d
Tc1p;P1+T1-d
Cc3t;(T1-P1)+(P1-d)
Tc2p;T1-d
Cc4t;T1-d
Cc1p;T1-d
Tc3t;T1+d
Cc2p;T1-d
Tc4t;P1+T1
Cc1t;(T1-P1)+(P1-d)
Tc3p;P1-d
Cc2t;(T1-P1)+(P1-(T1-P1))
Tc4p;T1-P1
Tc1t;
Cc3p;(T1-P1)-d
Tc2t;
Cc4p;
Cc1p;(T1-d)-(T1-P1)
Tc3t;T1-d
Cc2p;(T1-d)-(T1-P1)
Tc4t;T1+(P1-d)
Tc1p;T1-d
Cc3t;(T1-P1)+(P1-d)
Tc2p;T1-d
Cc4t;P1-d
Tc4p;(T1-d)-P1
Cc2t;(T1-P1)+(P1-d)
Tc3p;(T1+d)-(T1-d)
Cc1t;(T1-P1)+(P1-d)
Cc4p;(T1-d)-P1
Tc2t;(T1-P1)+d
Cc3p;
Tc1t;(P1-d)+d+d
Tc4t;T1+P1
Cc2p;T1-d
Tc3t;T1-d
Cc1p;T1-P1
Cc4t;
Tc2p;T1-d
Cc3t;
Tc1p;P1-d
Cc4p;P1-d
Tc2t;T1-d
Cc3p;(T1-d)-(T1-P1)
Tc1t;T1-d
Tc4p;P1-d
Cc2t;(T1-P1)+(P1-d)
Tc3p;P1+d
Cc1t;(T1-P1)+(P1-d)
Cc4t;(T1-P1)+(P1-d)
Tc2p;
Cc3t;(T1-P1)+(P1-d)
Tc1p;T1-d
Tc4t;
Cc2p;T1-d
Tc3t;T1-d
Cc1p;P1-d
Tc1t;T1+(P1-d)
Tc2p;P1-d
Tc3t;T1-d
Tc4p;T1-d
Cc1t;T1-d
Cc2p;P1-d
Cc3t;T1-d
Cc4p;P1-d
Tc1p;(T1-d)-(T1-P1)
Tc2t;(T1-P1)+(P1-d)
Tc3p;(T1-d)-(T1-P1)
Tc4t;(T1-P1)+(P1-d)
Cc1p;(T1-d)-(T1-P1)
Cc2t;(T1-P1)+(P1-d)
Cc3p;
Cc4t;
Cc1t;(T1-P1)+d
Cc2p;(T1-d)-(T1-P1)
Cc3t;(T1-P1)+(P1-d)
Cc4p;
Tc1t;
Tc2p;
Tc3t;
Tc4p;
Cc1p;(T1-P1)-d
Cc2t;(T1-P1)+(P1-d)
Cc3p;T1-d
Cc4t;(T1-P1)+(P1-d)
Tc1p;T1-P1
Tc2t;
Tc3p;
Tc4t;
Cc4p;T1-d
Cc3t;P1+(P1-d)
Cc2p;T1-d
Cc1t;(T1-P1)+d
Tc4p;
Tc3t;
Tc2p;
Tc1t;
Cc4t;P1-d
Cc3p;(T1-P1)+((T1-P1)-d)
Cc2t;(T1-P1)+(P1-d)
Cc1p;(T1-d)-(T1-P1)
Tc4t;(T1+P1)-d
Tc3p;(T1+P1)-d
Tc2t;T1-d
Tc1p;T1-d
Tc4p;(T1+P1)-d
Tc3t;(T1+P1)-d
Tc2p;(T1+P1)-d
Tc1t;(T1+P1)-d
Cc4p;(T1+P1)-d
Cc3t;(T1+P1)-d
Cc2p;(T1+P1)-d
Cc1t;
Tc4t;T1+P1+d
Tc3p;(T1+P1)-d
Tc2t;T1+P1+d
Tc1p;T1+P1+d
Cc4t;(T1+P1)-d
Cc3p;(T1+P1)-d
Cc2t;(T1-P1)+d
Cc1p;T1+P1+d
Tc1t;T1-d
Cc3p;T1-d
Tc2t;(T1-P1)+(P1-d)
Cc4p;T1-d
Cc1t;(T1-P1)+(P1-d)
Tc3p;
Cc2t;(T1-P1)+(P1-d)
Tc4p;T1-d
Tc1p;T1-d
Cc3t;(T1-P1)+(P1-d)
Tc2p;(T1-P1)-d
Cc4t;T1-d
Cc1p;(T1-P1)+d
Tc3t;T1-d
Cc2p;(T1-P1)-d)-P1
Tc4t;T1+(P1-d)
Cc1t;T1-d
Tc3p;T1-d
Cc2t;(T1-d)+(T1-P1)
Tc4p;T1-d
Tc1t;T1-d
Cc3p;T1-d
Tc2t;T1-d
Cc4p;T1-d
Cc1p;
Tc3t;
Cc2p;T1-P1
Tc4t;T1-d
Tc1p;
Cc3t;
Tc2p;
Cc4t;
Tc4p;T1-d
Cc2t;(T1-P1)+((T1-P1)-d)
Tc3p;(T1+P1)-d
Cc1t;(T1-P1)+(P1-d)
Cc4p;T1-d
Tc2t;(T1-P1)-d
Cc3p;T1-d
Tc1t;T1-d
Tc4t;P1-d
Cc2p;(T1-d)-(T1-P1)
Tc3t;T1-d
Cc1p;(T1-d)-(T1-P1)
Cc4t;(T1-P1)+(P1-d)
Tc2p;(T1-d)-(T1-P1)
Cc3t;(T1-P1)+(P1-d)
Tc1p;T1-d
Cc4p;(T1-d)/2
Tc2t;T1-d
Cc3p;(T1-d)-(T1-P1)
Tc1t;(T1-P1)+(P1-d)
Tc4p;(T1-d)-(T1-P1)
Cc2t;(T1-P1)+(P1-d)
Tc3p;(T1-d)-(T1-P1)
Cc1t;(T1-P1)+(P1-d)
Cc4t;T1-(P1-d)
Tc2p;T1-d
Cc3t;T1+(P1-d)
Tc1p;T1-d
Tc4t;(T1+P1)-d
Cc2p;(T1-P1)+((T1-P1)-d)
Tc3t;T1+P1+d
Cc1p;T1-d
Tc1t;(T1-P1)+(P1-d)
Tc2p;(T1-d)-(T1-P1)
Tc3t;P1+((T1-P1)-d)
Tc4p;(T1-d)-(T1-P1)
Cc1t;(T1-P1)+(P1-d)
Cc2p;(T1-d)-(T1-P1)
Cc3t;(T1-P1)+(P1-d)
Cc4p;(T1-d)-(T1-P1)
Tc1p;T1-d
Tc2t;T1-d
Tc3p;(T1-P1)-d
Tc4t;(T1-P1)+(P1-d)
Cc1p;
Cc2t;(T1-P1)+(P1-d)
Cc3p;(T1-d)-(T1-P1)
Cc4t;(T1-P1)+(P1-d)
Cc1t;(T1-P1)+(P1-d)
