problem;set;formula;selected;occurrences
Cc4p;set3;(T1-(T1-P1))-d;TRUE;0
Cc4p;set3;((T1-P1)-d)+d;FALSE;0
Cc4p;set3;T1-((T1+d)-P1);FALSE;0
Cc4p;set3;(T1+(P1-d))+d;FALSE;0
Cc4p;set3;((T1+P1)-d)-T1;TRUE;0
Cc4p;set3;((T1+P1)-T1)+d;FALSE;0
Cc4p;set3;T1-(T1-(P1-d));FALSE;0
Cc4p;set3;(P1-d)+(T1-P1);FALSE;4
Cc4p;set3;P1-((T1+d)-P1);FALSE;0
Cc4p;set3;T1-(P1-(P1-d));FALSE;0
Cc4p;set3;((T1-d)+d)+P1;FALSE;0
Cc4p;set3;((T1+d)+P1)+T1;FALSE;0
Cc4p;set3;(T1-(P1+d))-d;FALSE;0
Cc4p;set3;((P1+d)+P1)-T1;FALSE;0
Cc4p;set3;((T1+d)-d)-P1;FALSE;0
Cc4p;set3;(T1+d)+(P1+d);FALSE;0
Cc4p;set3;((T1+P1)-d)+d;FALSE;0
Cc4p;set3;(T1-d)-(P1+d);FALSE;1
Cc4p;set3;(T1+d)-(T1-P1);TRUE;0
Cc4p;set3;P1+((T1-d)-P1);FALSE;0
Cc4p;set3;(T1+P1)-(T1-d);FALSE;0
Cc4p;set3;(P1+d)-(T1-P1);FALSE;0
Cc4p;set3;P1-(T1-(T1-d));TRUE;0
Cc4p;set3;((T1+P1)-d)-P1;TRUE;0
Cc4p;set3;T1+((T1-P1)+d);FALSE;0
Cc4p;set3;((T1-d)+P1)-T1;FALSE;0
Cc4p;set3;((T1+d)-P1)-d;FALSE;0
Cc4p;set3;P1+(T1-(P1+d));FALSE;0
Cc4p;set3;((T1+P1)+d)+P1;FALSE;0
Cc4p;set3;((T1+P1)+P1)+d;FALSE;0
Cc4p;set3;(T1+(P1-d))-P1;FALSE;0
Cc4p;set3;(P1+(P1-d))-T1;FALSE;0
Cc4p;set3;(T1+(T1-P1))-d;FALSE;0
Cc4p;set3;((T1-P1)-d)-d;FALSE;0
Cc4p;set3;(T1+d)+(P1-d);FALSE;0
Cc4p;set3;((T1+P1)-T1)-d;FALSE;0
Cc4p;set3;((T1+P1)-P1)+d;FALSE;0
Cc4p;set3;((T1-d)-d)+P1;FALSE;0
Cc4p;set3;((T1+P1)+d)-d;FALSE;0
Cc4p;set3;P1+((T1-P1)+d);FALSE;0
Cc4p;set3;(T1-d)+(P1+d);FALSE;0
Cc4p;set3;(T1+P1)+(T1+d);FALSE;0
Cc4p;set3;(T1+(P1+d))+T1;FALSE;0
Cc4p;set3;T1+(T1-(P1-d));FALSE;0
Cc4p;set3;T1+((T1-d)-P1);FALSE;0
Cc4p;set3;(T1+d)-(P1-d);FALSE;0
Cc4p;set3;((T1+P1)-d)-d;TRUE;0
Cc4p;set3;(P1+d)+(T1-P1);FALSE;0
Cc4p;set3;(T1+(T1-d))+P1;FALSE;0
Cc4p;set3;(T1+(P1-d))-d;FALSE;0
Cc4p;set3;((T1+P1)+d)+d;FALSE;0
Cc4p;set3;((T1+d)+d)-P1;FALSE;0
Cc4p;set3;((T1+d)+P1)-d;FALSE;0
Cc4p;set3;((T1-d)+d)-P1;FALSE;0
Cc4p;set3;T1-((T1-P1)-d);FALSE;0
Cc4p;set3;((T1+d)+P1)+P1;FALSE;0
Cc4p;set3;((T1+d)+P1)-T1;FALSE;0
Cc4p;set3;(T1+(P1+d))-P1;FALSE;0
Cc4p;set3;T1+((P1-d)+d);FALSE;0
Cc4p;set3;((T1-d)+P1)+P1;FALSE;0
Cc4p;set3;(T1+P1)+(P1-d);FALSE;0
Cc4p;set3;((T1+d)-P1)+d;FALSE;0
Cc4p;set3;((T1+d)+T1)+P1;FALSE;0
Cc4p;set3;(T1+(P1-d))+T1;FALSE;0
Cc4p;set3;(T1+(P1+d))-d;FALSE;0
Cc4p;set3;T1-((P1-d)+d);FALSE;0
Cc4p;set3;(T1-(P1-d))-d;FALSE;0
Cc4p;set3;((T1-d)-P1)+d;FALSE;0
Cc4p;set3;P1+((T1+d)-T1);FALSE;0
Cc4p;set3;P1-((T1-P1)-d);FALSE;0
Cc4p;set3;(T1-(T1-P1))+d;FALSE;0
Cc4p;set3;((T1+P1)+d)-P1;FALSE;0
Tc4t;set0;T1+d;TRUE;10
Tc4t;set0;T1+P1;TRUE;4
Tc4t;set0;P1-d;TRUE;14
Tc4t;set0;T1-P1;FALSE;3
Tc4t;set0;P1+d;TRUE;2
Tc4t;set1;T1+(P1+d);TRUE;0
Tc4t;set1;(T1+d)+P1;FALSE;0
Tc4t;set1;(T1+P1)-d;TRUE;14
Tc4t;set1;T1-(P1-d);TRUE;8
Tc4t;set1;(T1+d)-P1;FALSE;0
Tc4t;set1;(T1-P1)-d;TRUE;6
Tc4t;set1;(T1-P1)+d;TRUE;8
Tc4t;set1;(T1-d)+P1;TRUE;2
Tc4t;set1;T1+(P1-d);TRUE;16
Tc4t;set1;(T1+P1)+d;TRUE;7
Tc4t;set1;(T1-d)-P1;FALSE;0
Tc4t;set1;T1-(P1+d);TRUE;1
Tc4t;set2;T1+(T1-d);FALSE;2
Tc4t;set2;d-(P1-d);FALSE;0
Tc4t;set2;P1+(P1-d);TRUE;0
Tc4t;set2;(T1-d)-d;FALSE;0
Tc4t;set2;(T1+d)-d;FALSE;0
Tc4t;set2;T1-(T1-d);FALSE;0
Tc4t;set2;(T1+P1)-P1;FALSE;0
Tc4t;set2;(T1+P1)-T1;FALSE;0
Tc4t;set2;(T1+P1)+T1;FALSE;0
Tc4t;set2;(T1+P1)+P1;FALSE;0
Tc4t;set2;T1-(T1-P1);FALSE;0
Tc4t;set2;(T1-P1)-P1;FALSE;0
Tc4t;set2;(T1-P1)+P1;TRUE;0
Tc4t;set2;(T1+d)+d;FALSE;0
Tc4t;set2;(P1+d)+P1;TRUE;0
Tc4t;set2;(T1+d)-T1;FALSE;0
Tc4t;set2;P1-(P1-d);TRUE;0
Tc4t;set2;(P1+d)-P1;TRUE;0
Tc4t;set2;(T1-d)+d;FALSE;0
Tc4t;set2;(P1+d)+d;FALSE;0
Tc4t;set2;d+(P1-d);TRUE;0
Tc4t;set2;T1+(T1-P1);FALSE;2
Tc4t;set2;(P1+d)-d;FALSE;0
Tc4t;set2;(T1+d)+T1;FALSE;0
Tc4t;set3;(T1+d)+(T1-P1);FALSE;0
Tc4t;set3;((T1-d)+P1)+d;FALSE;0
Tc4t;set3;T1-((P1+d)-d);FALSE;0
Tc4t;set3;T1+((P1+d)-P1);FALSE;0
Tc4t;set3;(T1+P1)-(P1-d);TRUE;0
Tc4t;set3;T1-((P1+d)-P1);FALSE;0
Tc4t;set3;(T1+(T1-P1))+d;FALSE;0
Tc4t;set3;P1-(T1-(P1+d));FALSE;0
Tc4t;set3;(T1-d)+(T1-P1);FALSE;1
Tc4t;set3;T1+((T1+d)-P1);FALSE;0
Tc4t;set3;((T1+P1)+T1)-d;FALSE;0
Tc4t;set3;T1+(P1+(P1-d));FALSE;0
Tc4t;set3;((T1+d)+P1)+d;FALSE;0
Tc4t;set3;T1+((P1+d)+d);FALSE;0
Tc4t;set3;(T1+P1)+(T1-d);FALSE;0
Tc4t;set3;(T1+(T1-d))+P1;FALSE;0
Tc4t;set3;T1+((P1+d)-d);FALSE;0
Tc4t;set3;(T1+P1)-(T1+d);FALSE;0
Tc4t;set3;((T1-P1)+d)-d;FALSE;0
Tc4t;set3;((T1-P1)+P1)-d;TRUE;0
Tc4t;set3;P1+(T1-(T1-d));FALSE;0
Tc4t;set3;(T1+P1)+(P1+d);FALSE;0
Tc4t;set3;((T1+P1)+d)+d;FALSE;0
Tc4t;set3;((T1+P1)-d)+T1;FALSE;0
Tc4t;set3;(T1-(P1-d))+d;FALSE;0
Tc4t;set3;(T1+(P1-d))-T1;FALSE;0
Tc4t;set3;T1-(d+(P1-d));FALSE;0
Tc4t;set3;P1-((T1-d)-P1);FALSE;0
Tc4t;set3;((T1-d)+P1)-P1;FALSE;0
Tc4t;set3;((T1-d)-P1)-d;FALSE;0
Tc4t;set3;((P1+d)+P1)+T1;FALSE;0
Tc4t;set3;T1+(P1-(P1-d));FALSE;0
Tc4t;set3;(T1-d)-(P1-d);FALSE;0
Tc4t;set3;(T1-P1)-(P1-d);FALSE;0
Tc4t;set3;T1-((P1+d)+d);FALSE;0
Tc4t;set3;((T1+d)+T1)-P1;FALSE;0
Tc4t;set3;(T1+(P1+d))+P1;FALSE;0
Tc4t;set3;(T1+(P1+d))-T1;FALSE;0
Tc4t;set3;T1+(T1-(P1+d));FALSE;0
Tc4t;set3;P1+((T1-P1)-d);TRUE;0
Tc4t;set3;((T1-P1)+d)-P1;FALSE;0
Tc4t;set3;((T1+P1)+T1)+d;FALSE;0
Tc4t;set3;((T1+d)+d)+P1;FALSE;0
Tc4t;set3;(T1-(P1+d))+d;FALSE;0
Tc4t;set3;((T1+d)-d)+P1;FALSE;0
Tc4t;set3;((T1-d)+P1)-d;FALSE;0
Tc4t;set3;(T1+P1)-(P1+d);TRUE;0
Tc4t;set3;((T1+P1)+P1)-d;FALSE;0
Tc4t;set3;T1+((T1-P1)-d);TRUE;0
Tc4t;set3;(T1+(P1+d))+d;FALSE;0
Tc4t;set3;((T1-d)-d)-P1;FALSE;0
Tc4t;set3;((T1+P1)-P1)-d;FALSE;0
Tc4t;set3;T1+(d+(P1-d));FALSE;0
Tc4t;set3;T1-((T1-P1)+d);TRUE;0
Tc4t;set3;T1-(T1-(P1+d));FALSE;0
Tc4t;set3;d+((T1-P1)-P1);FALSE;0
Tc4t;set3;((T1+d)+P1)+T1;FALSE;0
Tc4t;set3;(T1+d)+(P1+d);FALSE;0
Tc4t;set3;(T1+(T1-d))-P1;FALSE;0
Tc4t;set3;((T1+d)+P1)-P1;FALSE;0
Tc4t;set3;((T1+d)-P1)+P1;FALSE;0
Tc4t;set3;((T1-d)+P1)+T1;FALSE;0
Tc4t;set3;((T1+P1)-d)+P1;FALSE;0
Tc4t;set3;((T1+P1)+d)-T1;FALSE;0
Tc4t;set3;(T1-d)+(P1-d);TRUE;0
Tc4t;set3;((T1-P1)+d)+d;FALSE;0
Tc4t;set3;(T1-(T1-P1))-d;FALSE;0
Tc4t;set3;(T1-d)-(T1-P1);FALSE;0
Tc4t;set3;((T1-P1)-d)+d;TRUE;0
Tc4t;set3;T1-((T1+d)-P1);FALSE;0
Tc4t;set3;T1-(d-(P1-d));FALSE;0
Tc4t;set3;(T1+(P1-d))+d;FALSE;0
Tc4t;set3;((T1+P1)-d)-T1;FALSE;0
Tc4t;set3;((T1+P1)-T1)+d;FALSE;0
Tc4t;set3;T1-(T1-(P1-d));FALSE;0
Tc4t;set3;T1-(P1-(P1-d));TRUE;0
Tc4t;set3;((T1-d)+d)+P1;FALSE;0
Tc4t;set3;((T1-P1)+d)+P1;TRUE;0
Tc4t;set3;((P1+d)+P1)-T1;FALSE;0
Tc4t;set3;((T1+d)-d)-P1;FALSE;0
Tc4t;set3;(T1+(P1-d))+P1;FALSE;0
Tc4t;set3;(T1-(P1+d))-d;FALSE;0
Tc4t;set3;(T1-d)-(P1+d);FALSE;0
Tc4t;set3;(T1+d)-(T1-P1);FALSE;0
Tc4t;set3;P1+((T1-d)-P1);FALSE;0
Tc4t;set3;(T1+P1)-(T1-d);FALSE;0
Tc4t;set3;(P1+d)-(T1-P1);FALSE;0
Tc4t;set3;P1-(T1-(T1-d));FALSE;0
Tc4t;set3;((T1+P1)-d)-P1;FALSE;0
Tc4t;set3;T1+((T1-P1)+d);FALSE;0
Tc4t;set3;((T1-d)+P1)-T1;FALSE;0
Tc4t;set3;d-((T1-P1)-P1);FALSE;0
Tc4t;set3;P1+(T1-(P1+d));FALSE;0
Tc4t;set3;P1-((T1+d)-T1);FALSE;0
Tc4t;set3;((T1+P1)+P1)+d;FALSE;0
Tc4t;set3;(T1+(P1-d))-P1;FALSE;0
Tc4t;set3;((T1+P1)+d)-P1;FALSE;0
Tc4t;set3;T1-((T1-d)-P1);FALSE;0
Tc4t;set3;(T1+(T1-P1))-d;TRUE;0
Tc4t;set3;((T1-P1)-d)-d;TRUE;0
Tc4t;set3;((T1+P1)-T1)-d;FALSE;0
Tc4t;set3;((T1+P1)-d)+d;FALSE;0
Tc4t;set3;((T1+P1)-P1)+d;FALSE;0
Tc4t;set3;((T1-d)-d)+P1;FALSE;0
Tc4t;set3;(T1-(P1-d))-P1;FALSE;0
Tc4t;set3;((T1+d)-P1)-d;FALSE;0
Tc4t;set3;T1-(P1+(P1-d));FALSE;0
Tc4t;set3;(T1-d)+(P1+d);FALSE;0
Tc4t;set3;(T1+P1)+(T1+d);FALSE;0
Tc4t;set3;(T1+(P1+d))+T1;FALSE;0
Tc4t;set3;((T1-P1)+P1)+d;FALSE;0
Tc4t;set3;T1+(T1-(P1-d));FALSE;0
Tc4t;set3;T1+((T1-d)-P1);FALSE;0
Tc4t;set3;(T1+d)-(P1-d);FALSE;0
Tc4t;set3;((T1+P1)+d)-d;FALSE;0
Tc4t;set3;((T1+P1)-d)-d;FALSE;0
Tc4t;set3;(P1+d)+(T1-P1);TRUE;0
Tc4t;set3;((T1+P1)+d)+T1;FALSE;0
Tc4t;set3;(T1+(P1-d))-d;FALSE;0
Tc4t;set3;((T1+P1)+d)+P1;FALSE;0
Tc4t;set3;((T1+d)+d)-P1;FALSE;0
Tc4t;set3;((T1+d)+P1)-d;FALSE;0
Tc4t;set3;((T1-d)+d)-P1;FALSE;0
Tc4t;set3;T1-((T1-P1)-d);TRUE;0
Tc4t;set3;((T1+d)+P1)+P1;FALSE;0
Tc4t;set3;((T1+d)+P1)-T1;FALSE;0
Tc4t;set3;(T1+(P1+d))-P1;FALSE;0
Tc4t;set3;(T1+d)+(P1-d);FALSE;0
Tc4t;set3;((T1-d)+P1)+P1;FALSE;0
Tc4t;set3;(T1+P1)+(P1-d);FALSE;1
Tc4t;set3;T1+(d-(P1-d));FALSE;0
Tc4t;set3;((T1+d)-P1)+d;FALSE;0
Tc4t;set3;((T1+d)+T1)+P1;FALSE;0
Tc4t;set3;(T1+(P1-d))+T1;FALSE;0
Tc4t;set3;(T1+d)-(P1+d);FALSE;0
Tc4t;set3;(T1-(P1-d))+P1;FALSE;0
Tc4t;set3;(T1+(P1+d))-d;FALSE;0
Tc4t;set3;(T1-(P1-d))-d;FALSE;0
Tc4t;set3;((T1-d)-P1)+d;FALSE;0
Tc4t;set3;P1+((T1+d)-T1);FALSE;0
Tc4t;set3;P1-((T1-P1)-d);FALSE;0
Tc4t;set3;(T1-(T1-P1))+d;FALSE;0
Tc4t;set3;((T1+d)-P1)-P1;FALSE;0
Cc4t;set0;T1+d;TRUE;2
Cc4t;set0;T1+P1;TRUE;0
Cc4t;set0;P1-d;TRUE;42
Cc4t;set0;T1-P1;FALSE;2
Cc4t;set0;P1+d;TRUE;5
Cc4t;set1;T1+(P1+d);TRUE;0
Cc4t;set1;(T1+d)+P1;FALSE;0
Cc4t;set1;(T1+P1)-d;TRUE;3
Cc4t;set1;T1-(P1-d);TRUE;3
Cc4t;set1;(T1+d)-P1;FALSE;0
Cc4t;set1;(T1-P1)-d;FALSE;2
Cc4t;set1;(T1-P1)+d;TRUE;17
Cc4t;set1;(T1-d)+P1;FALSE;0
Cc4t;set1;T1+(P1-d);TRUE;4
Cc4t;set1;(T1+P1)+d;FALSE;0
Cc4t;set1;(T1-d)-P1;FALSE;0
Cc4t;set1;T1-(P1+d);FALSE;0
Cc4t;set2;P1-(T1-P1);FALSE;0
Cc4t;set2;T1+(T1-d);TRUE;0
Cc4t;set2;P1+(P1-d);FALSE;5
Cc4t;set2;(T1-d)-d;FALSE;0
Cc4t;set2;(P1-d)+d;FALSE;0
Cc4t;set2;(T1+d)-d;FALSE;0
Cc4t;set2;T1-(T1-d);FALSE;0
Cc4t;set2;(T1+P1)-P1;FALSE;0
Cc4t;set2;(T1+P1)-T1;FALSE;0
Cc4t;set2;(T1+P1)+T1;FALSE;0
Cc4t;set2;(P1-d)-d;FALSE;0
Cc4t;set2;(T1+P1)+P1;FALSE;0
Cc4t;set2;T1-(T1-P1);FALSE;0
Cc4t;set2;T1+(T1-P1);FALSE;0
Cc4t;set2;P1+(T1-P1);TRUE;0
Cc4t;set2;(T1+d)+d;FALSE;0
Cc4t;set2;(P1+d)+P1;FALSE;0
Cc4t;set2;(T1+d)-T1;FALSE;0
Cc4t;set2;P1-(P1-d);FALSE;0
Cc4t;set2;(P1+d)-P1;FALSE;0
Cc4t;set2;(T1-d)+d;FALSE;0
Cc4t;set2;(P1+d)+d;FALSE;0
Cc4t;set2;(P1+d)-d;FALSE;0
Cc4t;set2;(T1+d)+T1;FALSE;0
Cc4t;set3;(P1-(T1-P1))+d;FALSE;0
Cc4t;set3;(T1+d)+(T1-P1);TRUE;0
Cc4t;set3;((T1-d)+P1)+d;FALSE;0
Cc4t;set3;T1-((P1+d)-d);TRUE;0
Cc4t;set3;T1+((P1+d)-P1);FALSE;0
Cc4t;set3;(T1+P1)-(P1-d);TRUE;0
Cc4t;set3;T1-((P1+d)-P1);FALSE;0
Cc4t;set3;(T1+(T1-P1))+d;FALSE;0
Cc4t;set3;(T1-(P1+d))+d;TRUE;0
Cc4t;set3;(T1-d)+(T1-P1);TRUE;0
Cc4t;set3;T1+((T1+d)-P1);FALSE;0
Cc4t;set3;P1+((T1+d)-P1);FALSE;0
Cc4t;set3;((T1+P1)+T1)-d;FALSE;0
Cc4t;set3;((T1+d)+P1)+d;FALSE;0
Cc4t;set3;T1+((P1+d)+d);FALSE;0
Cc4t;set3;(T1+P1)+(T1-d);FALSE;0
Cc4t;set3;T1+((P1+d)-d);FALSE;0
Cc4t;set3;(T1+P1)-(T1+d);FALSE;0
Cc4t;set3;((T1-P1)+d)-d;FALSE;0
Cc4t;set3;(T1+d)-(P1+d);FALSE;0
Cc4t;set3;P1+(T1-(T1-d));FALSE;0
Cc4t;set3;(T1+P1)+(P1+d);FALSE;0
Cc4t;set3;(P1+(T1-P1))-d;FALSE;0
Cc4t;set3;(T1-(P1-d))+d;FALSE;0
Cc4t;set3;(P1-d)-(T1-P1);FALSE;0
Cc4t;set3;P1-(T1-(P1-d));FALSE;0
Cc4t;set3;P1-((T1-d)-P1);FALSE;0
Cc4t;set3;((T1-d)+P1)-P1;FALSE;0
Cc4t;set3;((T1-d)-P1)-d;FALSE;0
Cc4t;set3;((P1+d)+P1)+T1;FALSE;0
Cc4t;set3;(T1+(P1-d))-T1;FALSE;0
Cc4t;set3;T1+(P1-(P1-d));FALSE;0
Cc4t;set3;(T1-d)-(P1-d);FALSE;0
Cc4t;set3;T1+((P1-d)-d);FALSE;0
Cc4t;set3;T1-((P1+d)+d);FALSE;0
Cc4t;set3;((T1+d)+T1)-P1;FALSE;0
Cc4t;set3;(T1+(P1+d))+P1;FALSE;0
Cc4t;set3;(T1+(P1+d))-T1;FALSE;0
Cc4t;set3;T1+(T1-(P1+d));FALSE;0
Cc4t;set3;P1+((T1-P1)-d);FALSE;0
Cc4t;set3;((T1+P1)+T1)+d;FALSE;0
Cc4t;set3;((T1+d)+d)+P1;FALSE;0
Cc4t;set3;P1-((T1-P1)+d);FALSE;0
Cc4t;set3;P1+(T1-(P1-d));TRUE;0
Cc4t;set3;(P1-(T1-P1))-d;FALSE;0
Cc4t;set3;P1-(T1-(P1+d));FALSE;0
Cc4t;set3;((T1+d)-d)+P1;FALSE;0
Cc4t;set3;((T1-d)+P1)-d;FALSE;0
Cc4t;set3;(T1+P1)-(P1+d);FALSE;0
Cc4t;set3;(P1+(T1-P1))+d;FALSE;0
Cc4t;set3;((T1+P1)+P1)-d;FALSE;0
Cc4t;set3;T1+((T1-P1)-d);FALSE;0
Cc4t;set3;(T1+(P1+d))+d;FALSE;0
Cc4t;set3;((T1-d)-d)-P1;FALSE;0
Cc4t;set3;((T1+P1)-P1)-d;FALSE;0
Cc4t;set3;(P1+(P1-d))+T1;FALSE;0
Cc4t;set3;T1-((T1-P1)+d);FALSE;0
Cc4t;set3;T1-(T1-(P1+d));FALSE;0
Cc4t;set3;((T1+P1)+d)+T1;FALSE;0
Cc4t;set3;((T1+P1)-d)+T1;FALSE;0
Cc4t;set3;(T1+(P1-d))+P1;FALSE;0
Cc4t;set3;(T1+(T1-d))-P1;FALSE;0
Cc4t;set3;((T1+d)+P1)-P1;FALSE;0
Cc4t;set3;T1-((P1-d)-d);FALSE;0
Cc4t;set3;P1-((T1+d)-T1);FALSE;0
Cc4t;set3;((T1-d)+P1)+T1;FALSE;0
Cc4t;set3;((T1+P1)-d)+P1;FALSE;0
Cc4t;set3;((T1+P1)+d)-T1;FALSE;0
Cc4t;set3;(T1-d)+(P1-d);FALSE;1
Cc4t;set3;T1-((T1-d)-P1);FALSE;0
Cc4t;set3;((T1-P1)+d)+d;FALSE;0
Cc4t;set3;(T1-(T1-P1))-d;FALSE;0
Cc4t;set3;(T1-d)-(T1-P1);FALSE;0
Cc4t;set3;((T1-P1)-d)+d;FALSE;0
Cc4t;set3;T1-((T1+d)-P1);FALSE;0
Cc4t;set3;(T1+(P1-d))+d;FALSE;0
Cc4t;set3;((T1+P1)-d)-T1;FALSE;0
Cc4t;set3;((T1+P1)-T1)+d;FALSE;0
Cc4t;set3;T1-(T1-(P1-d));FALSE;0
Cc4t;set3;(P1-d)+(T1-P1);TRUE;0
Cc4t;set3;P1-((T1+d)-P1);FALSE;0
Cc4t;set3;T1-(P1-(P1-d));FALSE;0
Cc4t;set3;((T1-d)+d)+P1;FALSE;0
Cc4t;set3;((T1+d)+P1)+T1;FALSE;0
Cc4t;set3;(T1-(P1+d))-d;FALSE;0
Cc4t;set3;((P1+d)+P1)-T1;FALSE;0
Cc4t;set3;((T1+d)-d)-P1;FALSE;0
Cc4t;set3;(T1+d)+(P1+d);FALSE;0
Cc4t;set3;((T1+P1)-d)+d;FALSE;0
Cc4t;set3;(T1-d)-(P1+d);FALSE;0
Cc4t;set3;(T1+d)-(T1-P1);FALSE;0
Cc4t;set3;P1+((T1-d)-P1);FALSE;0
Cc4t;set3;(T1+P1)-(T1-d);FALSE;0
Cc4t;set3;(P1+d)-(T1-P1);FALSE;0
Cc4t;set3;P1-(T1-(T1-d));FALSE;0
Cc4t;set3;((T1+P1)-d)-P1;FALSE;0
Cc4t;set3;T1+((T1-P1)+d);FALSE;0
Cc4t;set3;((T1-d)+P1)-T1;FALSE;0
Cc4t;set3;((T1+d)-P1)-d;FALSE;0
Cc4t;set3;P1+(T1-(P1+d));TRUE;0
Cc4t;set3;((T1+P1)+d)+P1;FALSE;0
Cc4t;set3;((T1+P1)+P1)+d;FALSE;0
Cc4t;set3;(T1+(P1-d))-P1;FALSE;0
Cc4t;set3;(P1+(P1-d))-T1;FALSE;0
Cc4t;set3;(T1+(T1-P1))-d;TRUE;0
Cc4t;set3;((T1-P1)-d)-d;FALSE;0
Cc4t;set3;(T1+d)+(P1-d);FALSE;0
Cc4t;set3;((T1+P1)-T1)-d;FALSE;0
Cc4t;set3;((T1+P1)-P1)+d;FALSE;0
Cc4t;set3;((T1-d)-d)+P1;FALSE;0
Cc4t;set3;((T1+P1)+d)-d;FALSE;0
Cc4t;set3;P1+((T1-P1)+d);FALSE;0
Cc4t;set3;(T1-d)+(P1+d);FALSE;0
Cc4t;set3;(T1+P1)+(T1+d);FALSE;0
Cc4t;set3;(T1+(P1+d))+T1;FALSE;0
Cc4t;set3;T1+(T1-(P1-d));FALSE;0
Cc4t;set3;T1+((T1-d)-P1);FALSE;0
Cc4t;set3;(T1+d)-(P1-d);FALSE;0
Cc4t;set3;((T1+P1)-d)-d;FALSE;0
Cc4t;set3;(P1+d)+(T1-P1);TRUE;0
Cc4t;set3;(T1+(T1-d))+P1;FALSE;0
Cc4t;set3;(T1+(P1-d))-d;FALSE;0
Cc4t;set3;((T1+P1)+d)+d;FALSE;0
Cc4t;set3;((T1+d)+d)-P1;FALSE;0
Cc4t;set3;((T1+d)+P1)-d;FALSE;0
Cc4t;set3;((T1-d)+d)-P1;FALSE;0
Cc4t;set3;T1-((T1-P1)-d);FALSE;0
Cc4t;set3;((T1+d)+P1)+P1;FALSE;0
Cc4t;set3;((T1+d)+P1)-T1;FALSE;0
Cc4t;set3;(T1+(P1+d))-P1;FALSE;0
Cc4t;set3;T1+((P1-d)+d);FALSE;0
Cc4t;set3;((T1-d)+P1)+P1;FALSE;0
Cc4t;set3;(T1+P1)+(P1-d);FALSE;1
Cc4t;set3;((T1+d)-P1)+d;FALSE;0
Cc4t;set3;((T1+d)+T1)+P1;FALSE;0
Cc4t;set3;(T1+(P1-d))+T1;FALSE;0
Cc4t;set3;(T1+(P1+d))-d;TRUE;0
Cc4t;set3;T1-((P1-d)+d);FALSE;0
Cc4t;set3;(T1-(P1-d))-d;FALSE;0
Cc4t;set3;((T1-d)-P1)+d;FALSE;0
Cc4t;set3;P1+((T1+d)-T1);FALSE;0
Cc4t;set3;P1-((T1-P1)-d);FALSE;0
Cc4t;set3;(T1-(T1-P1))+d;FALSE;0
Cc4t;set3;((T1+P1)+d)-P1;FALSE;0
Tc4p;set0;T1+d;TRUE;3
Tc4p;set0;T1+P1;FALSE;3
Tc4p;set0;T1-P1;TRUE;5
Tc4p;set0;P1+d;TRUE;2
Tc4p;set0;T1-d;TRUE;106
Tc4p;set1;T1+(P1+d);FALSE;0
Tc4p;set1;(T1+d)+P1;FALSE;0
Tc4p;set1;(T1+P1)-d;FALSE;21
Tc4p;set1;T1-(P1-d);TRUE;1
Tc4p;set1;(T1+d)-P1;TRUE;0
Tc4p;set1;(T1-P1)-d;TRUE;16
Tc4p;set1;(T1-P1)+d;TRUE;2
Tc4p;set1;(T1-d)+P1;FALSE;1
Tc4p;set1;T1+(P1-d);FALSE;0
Tc4p;set1;(T1+P1)+d;FALSE;3
Tc4p;set1;(T1-d)-P1;TRUE;15
Tc4p;set1;T1-(P1+d);FALSE;0
Tc4p;set2;T1+(T1-d);FALSE;0
Tc4p;set2;d-(P1-d);FALSE;0
Tc4p;set2;P1+(P1-d);FALSE;0
Tc4p;set2;(T1-d)-d;FALSE;2
Tc4p;set2;(T1+d)-d;FALSE;0
Tc4p;set2;T1-(T1-d);TRUE;1
Tc4p;set2;(T1+P1)-P1;FALSE;0
Tc4p;set2;(T1+P1)-T1;TRUE;0
Tc4p;set2;(T1+P1)+T1;FALSE;0
Tc4p;set2;(T1+P1)+P1;FALSE;0
Tc4p;set2;T1-(T1-P1);TRUE;0
Tc4p;set2;(T1-P1)-P1;TRUE;2
Tc4p;set2;(T1-P1)+P1;FALSE;0
Tc4p;set2;(T1+d)+d;FALSE;0
Tc4p;set2;(P1+d)+P1;FALSE;0
Tc4p;set2;(T1+d)-T1;TRUE;1
Tc4p;set2;P1-(P1-d);TRUE;0
Tc4p;set2;(P1+d)-P1;FALSE;0
Tc4p;set2;(T1-d)+d;FALSE;0
Tc4p;set2;(P1+d)+d;FALSE;0
Tc4p;set2;d+(P1-d);FALSE;0
Tc4p;set2;T1+(T1-P1);FALSE;0
Tc4p;set2;(P1+d)-d;FALSE;0
Tc4p;set2;(T1+d)+T1;FALSE;0
Tc4p;set3;(T1+d)+(T1-P1);FALSE;0
Tc4p;set3;((T1-d)+P1)+d;FALSE;0
Tc4p;set3;T1-((P1+d)-d);FALSE;0
Tc4p;set3;T1+((P1+d)-P1);FALSE;0
Tc4p;set3;(T1+P1)-(P1-d);FALSE;0
Tc4p;set3;T1-((P1+d)-P1);FALSE;0
Tc4p;set3;(T1+(T1-P1))+d;FALSE;0
Tc4p;set3;P1-(T1-(P1+d));FALSE;0
Tc4p;set3;(T1-d)+(T1-P1);FALSE;0
Tc4p;set3;T1+((T1+d)-P1);FALSE;0
Tc4p;set3;((T1+P1)+T1)-d;FALSE;0
