Tc1t;473;P1;False;LucasGAIN-LucasGAINminusSimonGAIN=SimonGAIN;['dEI interpreted as LucasGAINminusSimonGAIN']
Tc1t;474;T1+P1;False;LucasEI+LucasGAIN=LucasEF;['T1 interpreted as LucasEI']
Tc1t;475;T1+d;True;(LucasEI-LucasEIminusSimonEI)+SimonGAIN=SimonEF;['d interpreted as SimonGAIN', 'T1 interpreted as LucasEI']
Tc1t;478;(T1+P1)-(P1-d);True;(LucasEI+LucasGAIN)-((LucasGAIN-SimonGAIN)+LucasEIminusSimonEI)=SimonEF;['d interpreted as SimonGAIN', 'T1 interpreted as LucasEI']
Tc1t;516;T1-d;True;(LucasEI-LucasEIminusSimonEI)+SimonGAIN=SimonEF;['-d interpreted as SimonGAIN', 'T1 interpreted as LucasEI']
Tc1t;519;(T1+P1)-(P1+d);True;(LucasEI+LucasGAIN)-((LucasGAIN-SimonGAIN)+LucasEIminusSimonEI)=SimonEF;['-d interpreted as SimonGAIN', 'T1 interpreted as LucasEI']
Tc1t;557;T1+(P1+d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-LucasGAINminusSimonGAIN)=SimonEF;['-d interpreted as LucasGAINminusSimonGAIN', 'T1 interpreted as LucasEI']
Tc1t;565;(T1+P1)-d;True;(LucasEI+LucasGAIN)-LucasEFminusSimonEF=SimonEF;['d interpreted as LucasEFminusSimonEF', 'T1 interpreted as LucasEI']
Tc1t;566;T1+(P1-d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-(LucasEFminusSimonEF-LucasEIminusSimonEI))=SimonEF;['d interpreted as LucasEFminusSimonEF', 'T1 interpreted as LucasEI']
Tc1t;606;(T1+P1)+d;True;(LucasEI+LucasGAIN)-LucasEFminusSimonEF=SimonEF;['-d interpreted as LucasEFminusSimonEF', 'T1 interpreted as LucasEI']
Tc1t;607;T1+(P1-d);True;(LucasEI-LucasEIminusSimonEI)+(LucasGAIN-(LucasEIminusSimonEI-LucasEFminusSimonEF))=SimonEF;['-d interpreted as LucasEFminusSimonEF', 'T1 interpreted as LucasEI']
Tc1t;768;d;False;LucasGAINminusSimonGAIN-LucasEFminusSimonEF=LucasEIminusSimonEI;['dEI interpreted as LucasEFminusSimonEF']
Tc1t;770;T1;False;LucasGAIN-LucasGAINminusSimonGAIN=SimonGAIN;['dEI interpreted as LucasGAINminusSimonGAIN', 'T1 interpreted as LucasGAIN']
Tc1t;771;T1-d;False;(LucasGAIN-SimonGAIN)+LucasEIminusSimonEI=LucasEFminusSimonEF;['d interpreted as SimonGAIN', 'T1 interpreted as LucasGAIN']
Tc1t;772;T1+d;False;(LucasGAIN-SimonGAIN)+LucasEIminusSimonEI=LucasEFminusSimonEF;['-d interpreted as SimonGAIN', 'T1 interpreted as LucasGAIN']
